Site_ID,FID_1,Dataset_1,Major_ID_1,Tuna_area_1,Site_Name,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA_T,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA_FC,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y
LLN_255,135,LLN,LLN_255_0_0,0,Aweinat ibn Harshan 5,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,720675.3868,4061001.4775
LLN_256,137,LLN,LLN_256_0_0,0,Aweinat ibn Harshan 6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,719611.7234,4061388.2642
LLN_257,31,LLN,LLN_257_0_0,0,Lazzaga,0,0,16.2,0,0,16.2,0,16.2,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,732114.2452,4084469.6918
LLN_261,114,LLN,LLN_261_0_0,0,Graga Fowqani,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,735238.3999,4082954.8782
LLN_264,38,LLN,LLN_264_0_0,18.3693381287,Abu Qadeir,6.25,0,6.25,0,0,6.25,0,6.25,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,737673.8578,4081954.8873
LLN_267,138,LLN,LLN_267_0_0,0,Hissu Ratla,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,739111.8191,4093192.6682
LLN_27,139,LLN,LLN_27_0_0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,734450.7486,4079593.0818
LLN_270,140,LLN,LLN_270_0_0,0,Tubiz,0,0,0,0,0,0,0,4.06,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,731508.2596,4079746.8855
LLN_271,83,LLN,LLN_271_0_0,2.39370430771,Abu Kabira West,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,732284.7724,4078740.2134
LLN_272,84,LLN,LLN_272_0_0,11.4537991383,#N/A,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,733421.784,4078444.2742
LLN_273,36,LLN,LLN_273_0_0,7.39807906214,Tahin,0,0,0,0,0,8.32,0,8.32,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,728981.3292,4074340.6605
LLN_276,37,LLN,LLN_276_0_0,6.38209512253,Atwiyeh,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,730862.528,4076435.082
