L1,OBJECTID_1,hw_type,Corrected,Shape_Leng,angle,angle_abs,startX,midX,endX,startY,midY,endY
2682,2556,"2","1",820.621290718,-0.00913447495915519,179.990865525041,685002.9878,685322.288620144,685618.3363,4060193.5411,4059938.12887986,4059655.5315
2683,2557,"2","1",1525.57158087,0.024130607341802,0.024130607341802,685850.3529,686164.526325148,686388.3625,4061689.8801,4062383.57094996,4063112.2429
2684,2558,"2","1",1255.25695993,0.0203611078255907,0.0203611078255907,686415.2629,686579.952176175,686778.4194,4063213.1197,4063818.15202852,4064413.5535
2685,2559,"2","1",833.902502494,-0.00650048830590761,179.993499511694,684623.0186,684236.076173091,683889.9806,4063720.8662,4063565.74547633,4063337.5344
2686,2560,"1","1",335.616747675,0.00519164155606677,0.00519164155606677,687094.5,687163.567716273,687232.365,4063774.6672,4063927.6028103,4064080.6601
2687,2561,"1","1",2161.75430936,0.0339829091642048,0.0339829091642048,687276.0782,687762.093953146,688049.467,4064194.9872,4065158.51744362,4066199.0728
2688,2562,"2","1",583.166625045,-0.00496102259006973,179.99503897741,688627.8272,688377.246556078,688123.4433,4067550.8218,4067401.7974068,4067258.2791
2689,2563,"2","1",289.932989612,-0.00142536709814887,179.998574632902,687864.5262,687729.416738453,687588.7963,4067086.7885,4067034.24596469,4067002.7245
2690,2564,"0","1",831.020317472,-0.00535936359694326,179.994640636403,687450.9313,687074.244014402,686684.2677,4066915.298,4066740.46001116,4066599.2174
2691,2565,"0","1",486.869947673,0.00182401577952305,0.00182401577952305,687948.5902,687708.879210844,687474.4693,4067819.8266,4067862.23478544,4067927.4285
2692,2566,"0","1",1151.88476971,-0.00404745117479791,179.995952548825,687948.5902,687378.625184211,686825.4952,4067819.8266,4067739.69431732,4067581.0848
2693,2567,"2","1",1046.97495881,-0.0160687523323581,179.983931247668,685463.6585,685710.733099967,685897.4287,4067523.9213,4067064.74035255,4066575.6795
2694,2568,"2","1",1817.95729726,-0.0302689783894062,179.969731021611,685561.1728,685384.342828469,685221.5542,4067133.8644,4066242.62295022,4065348.3452
2695,2569,"2","1",1354.25964191,-0.0226960650053764,179.977303934995,685181.2035,685063.384083858,684979.4499,4065028.902,4064362.10317956,4063690.6032
2696,2570,"2","1",932.499845846,-0.0153440988163367,179.984655901184,648570.8383,648638.02032291,648736.1188,4073770.187,4073308.81150667,4072853.1469
2697,2571,"2","1",1082.70259867,-0.00646192485049959,179.99353807515,648781.4376,649296.593921401,649789.1154,4076518.6414,4076356.05863065,4076132.0984
2698,2572,"0","1",1571.16144948,-0.0164527273704824,179.98354727263,650133.0054,650777.661524632,651348.6167,4076750.5672,4076305.89546216,4075766.8818
2699,2573,"2","1",3021.11287008,-0.0502436887806115,179.949756311219,644844.0301,644758.120331264,644689.4129,4070864.4496,4069370.51580527,4067862.7428
2700,2574,"0","1",420.844155879,0.00575517905503932,0.00575517905503932,646462.1793,646340.88475,646219.5902,4069720.8153,4069892.7603,4070064.7053
2701,2575,"1","1",1092.72655837,0.0138007911209367,0.0138007911209367,643335.1793,643695.18496086,644052.6282,4057404.7539,4057814.08341919,4058227.2964
2702,2576,"1","1",1056.02424822,0.0118580149736567,0.0118580149736567,642557.463,642923.521893118,643335.1793,4056698.0123,4057077.79873064,4057404.7539
2703,2577,"0","1",587.126955102,-0.00975627814284006,179.990243721857,644417.4999,644368.382396484,644337.5254,4057908.5927,4057619.33633817,4057327.4452
2704,2578,"0","1",527.353039995,0.00877423543166548,0.00877423543166548,643255.2049,643231.21255,643207.2202,4072061.4001,4072323.9828,4072586.5655
2705,2579,"0","1",939.461128311,-0.0156380476257235,179.984361952374,643399.1588,643452.719863983,643447.1435,4072621.2211,4072155.08675765,4071685.5203
2706,2580,"2","1",502.581470628,-0.0082466908647949,179.991753309135,637974.227,638019.285612243,638080.8596,4046394.9414,4046148.06151951,4045904.4315
2707,2581,"1","1",485.649974914,-0.00407675599514577,179.995923244005,636510.695,636295.845293025,636092.1622,4046163.0155,4046050.57179941,4045920.4264
2708,2582,"1","1",547.142418842,-0.00416606463518752,179.995833935365,635980.198,635726.981770881,635495.0198,4045875.1076,4045771.90751409,4045627.1869
2709,2583,"0","1",624.756702242,0.00901526155568354,0.00901526155568354,656654.2888,656816.138081215,656968.6144,4086459.7996,4086726.97939792,4086999.5507
2710,2584,"0","1",399.723092621,0.00662927976903523,0.00662927976903523,656181.2128,656205.02535,656228.8379,4085916.8735,4086115.3114,4086313.7493
